	strain	accession_version	strain_name	date	region	country	division	location	length	host_scientific	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	host
273	KM210278	KM210278.1	England/3/2013	2013-02-10	Europe	United Kingdom			30035	Homo sapiens	2015-01-18	2015-01-18		Galiano,M.,Myers,R.,Bermingham,A.,Gopal,R.,Zambon,M.	Galiano et al	Microbiology Services, Public Health England, Virus Reference Department	Human
338	KP209306	KP209306.1	KP209306	2014-04-07	Asia	United Arab Emirates			30123	Homo sapiens	2014-12-06	2016-04-06		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Hunter et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
341	KP209309	KP209309.1	KP209309	2014-04-19	Asia	United Arab Emirates			30123	Homo sapiens	2014-12-06	2016-04-06		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Hunter et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
342	KP209310	KP209310.1	KP209310	2014-03-07	Asia	United Arab Emirates			30123	Homo sapiens	2014-12-06	2016-04-06		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Hunter et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
343	KP209311	KP209311.1	KP209311	2014-04-17	Asia	United Arab Emirates			30123	Homo sapiens	2014-12-06	2016-04-06		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Hunter et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
344	KP209312	KP209312.1	KP209312	2013-11-15	Asia	United Arab Emirates			30123	Homo sapiens	2014-12-06	2016-04-06		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Hunter et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
346	KP223131	KP223131.1	Florida/USA-2_Saudi Arabia_2014	2014-06-XX	North America	USA			30123	Homo sapiens	2014-12-14	2014-12-14		Tao,Y.,Tamin,A.,Paden,C.,Queen,K.,Li,Y.,Tong,S.	Tao et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
347	KP236092	KP236092.1	KP236092	2013-10-29	Asia	United Arab Emirates			4062	Homo sapiens	2014-12-14	2014-12-14		Tao,Y.,Queen,K.,Li,Y.,Paden,C.R.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Weber,S.,Imambaccus,H.,Sasse,J.,Gerber,S.,Al Hosany,F.I.,Tong,S.	Tao et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
349	KP405225	KP405225.1	Al-Ahsa KSA_Camel_C8	2013-12-XX	Asia	Saudi Arabia			4062	Camelus bactrianus	2015-07-06	2015-07-06		Khalafalla,A.I.,Lu,X.,Al-Mubarak,A.I.,Dalab,A.H.,Al-Busadah,K.A.,Erdman,D.D.,Al-Mubarak,A.I.A.,Dalab,A.H.S.,Al-Busada,K.A.S.	Khalafalla et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
350	KP405226	KP405226.1	Al-Ahsa KSA_Camel_C7	2013-11-XX	Asia	Saudi Arabia			4062	Camelus bactrianus	2015-07-06	2015-07-06		Khalafalla,A.I.,Lu,X.,Al-Mubarak,A.I.,Dalab,A.H.,Al-Busadah,K.A.,Erdman,D.D.,Al-Mubarak,A.I.A.,Dalab,A.H.S.,Al-Busada,K.A.S.	Khalafalla et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
351	KP405227	KP405227.1	Al-Ahsa KSA_Camel_C9	2013-12-XX	Asia	Saudi Arabia			4062	Camelus bactrianus	2015-07-06	2015-07-06		Khalafalla,A.I.,Lu,X.,Al-Mubarak,A.I.,Dalab,A.H.,Al-Busadah,K.A.,Erdman,D.D.,Al-Mubarak,A.I.A.,Dalab,A.H.S.,Al-Busada,K.A.S.	Khalafalla et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
352	KP719927	KP719927.1	Camel/UAE/D1164.9/2014	2014-06-XX	Asia	United Arab Emirates			29559	Camelus dromedarius	2015-02-09	2015-02-09		Wernery,U.,Corman,V.M.,Drosten,C.	Wernery et al	University of Bonn Medical Centre, Institute of Virology	Camel
353	KP719928	KP719928.1	Camel/UAE/D1164.10/2014	2014-06-XX	Asia	United Arab Emirates			29559	Camelus dromedarius	2015-02-09	2015-02-09		Wernery,U.,Corman,V.M.,Drosten,C.	Wernery et al	University of Bonn Medical Centre, Institute of Virology	Camel
354	KP719929	KP719929.1	Camel/UAE/D1164.11/2014	2014-06-XX	Asia	United Arab Emirates			29559	Camelus dromedarius	2015-02-09	2015-02-09		Wernery,U.,Corman,V.M.,Drosten,C.	Wernery et al	University of Bonn Medical Centre, Institute of Virology	Camel
355	KP719930	KP719930.1	Camel/UAE/D1164.14/2014	2014-06-XX	Asia	United Arab Emirates			29559	Camelus dromedarius	2015-02-09	2015-02-09		Wernery,U.,Corman,V.M.,Drosten,C.	Wernery et al	University of Bonn Medical Centre, Institute of Virology	Camel
356	KP719931	KP719931.1	Camel/UAE/D1339.2/2014	2014-06-XX	Asia	United Arab Emirates			29559	Camelus dromedarius	2015-02-09	2015-02-09		Wernery,U.,Corman,V.M.,Drosten,C.	Wernery et al	University of Bonn Medical Centre, Institute of Virology	Camel
357	KP719932	KP719932.1	Camel/UAE/D1243.12/2014	2014-06-XX	Asia	United Arab Emirates			29559	Camelus dromedarius	2015-02-09	2015-02-09		Wernery,U.,Corman,V.M.,Drosten,C.	Wernery et al	University of Bonn Medical Centre, Institute of Virology	Camel
358	KP719933	KP719933.1	Camel/UAE/D1209/2014		Asia	United Arab Emirates			29559	Camelus dromedarius	2015-02-09	2015-02-09		Wernery,U.,Corman,V.M.,Drosten,C.	Wernery et al	University of Bonn Medical Centre, Institute of Virology	Camel
360	KP966104	KP966104.1	Al-Ahsa KSA_Camel_C23	2014-05-XX	Asia	Saudi Arabia			4062	Camelus bactrianus	2015-07-02	2015-07-02		Khalafalla,A.I.,Lu,X.,Al-Mubarak,A.I.,Dalab,A.H.,Al-Busadah,K.A.,Erdman,D.D.,Al-Mubarak,A.I.A.,Dalab,A.H.S.,Al-Busada,K.A.S.	Khalafalla et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
372	KR912192	KR912192.1	Hu/Taif,KSA-2083/2014	2014-10-24	Asia	Saudi Arabia			4062	Homo sapiens	2015-10-21	2015-10-21		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
397	KT003530	KT003530.1	ChinaGD01	2015-05-27	Asia	China			4062	Homo sapiens	2015-11-09	2015-11-09		Lu,R.,Wang,Y.,Zhao,Y.,Tan,W.	Lu et al	China CDC, National Institute for Viral Disease Control and Prevention	Human
398	KT006149	KT006149.2	KT006149	2015-05-27	Asia	China			30114	Homo sapiens	2015-06-05	2015-09-02		Lu,R.,Wang,Y.,Wang,W.,Nie,K.,Zhao,Y.,Su,J.,Deng,Y.,Zhou,W.,Li,Y.,Wang,H.,Ke,C.,Ma,X.,Wu,G.,Tan,W.,Zhang,Y.,Zou,L.,Niu,P.,Zhang,S.,Wu,J.	Lu et al	National Institute for Viral Disease Control and Prevention, China CDC	Human
400	KT026454	KT026454.1	KT026454	2015-03-01	Asia	Saudi Arabia			30123	Homo sapiens	2015-06-08	2016-03-15		Park,W.B.,Kwon,N.J.,Choe,P.G.,Choi,S.J.,Oh,H.S.,Lee,S.M.,Chong,H.,Kim,J.I.,Song,K.H.,Bang,J.H.,Kim,E.S.,Kim,H.B.,Park,S.W.,Kim,N.J.,Oh,M.D.,Queen,K.,Bin Saeed,A.,Paden,C.,Zhang,J.,Li,Y.,Tao,Y.,Erdman,D.,Tong,S.	Park et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
404	KT036372	KT036372.1	ChinaGD01	2015-05-28	Asia	China			29928	Homo sapiens	2015-06-10	2015-06-10		Su,J.,Xu,J.,Zhang,B.,Xie,Q.,Zhao,W.,Ke,C.	Su et al	Guangdong Provincial Center for Disease Control and Prevention, Key Laboratory for Repository and Application of Pathogenic Microbiology, Research Center for Pathogens Detection Technology of Emerging Infectious Diseases	Human
405	KT036373	KT036373.1	ChinaGD01 variant 1	2015-05-28	Asia	China			29509	Homo sapiens	2015-06-10	2015-06-10		Su,J.,Wu,J.,Zhang,B.,Xie,Q.,Zhao,W.,Ke,C.	Su et al	Guangdong Provincial Center for Disease Control and Prevention, Key Laboratory for Repository and Application of Pathogenic Microbiology, Research Center for Pathogens Detection Technology of Emerging Infectious Diseases	Human
406	KT036374	KT036374.1	ChinaGD01 variant 2	2015-05-28	Asia	China			29514	Homo sapiens	2015-06-10	2015-06-10		Su,J.,Wu,J.,Zhang,B.,Xie,Q.,Zhao,W.,Ke,C.	Su et al	Guangdong Provincial Center for Disease Control and Prevention, Key Laboratory for Repository and Application of Pathogenic Microbiology, Research Center for Pathogens Detection Technology of Emerging Infectious Diseases	Human
417	KT156560	KT156560.1	KT156560	2013-10-28	Asia	Oman			30123	Homo sapiens	2015-06-23	2015-06-23		Queen,K.,Al-Jardani,A.,Zhang,J.,Al Kindi,H.,Li,Y.,Tao,Y.,Al Baqlani,S.,Al Mahrouqi,S.,Tong,S.	Queen et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
418	KT156561	KT156561.1	KT156561	2013-12-28	Asia	Oman			30123	Homo sapiens	2015-06-23	2015-06-23		Queen,K.,Al-Jardani,A.,Zhang,J.,Al Kindi,H.,Li,Y.,Tao,Y.,Al Baqlani,S.,Al Mahrouqi,S.,Tong,S.	Queen et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
420	KT182954	KT182954.1	MERS-CoV/KOR/KNIH/012_05_2015	2015-05-28	Asia	South Korea			4062	Homo sapiens	2016-04-07	2016-04-07		Kim,D.W.,Kim,Y.J.,Park,S.H.,Yun,M.R.,Yang,J.S.,Kang,H.J.,Han,Y.W.,Lee,H.S.,Man Kim,H.,Kim,H.,Kim,A.R.,Heo,D.R.,Kim,S.J.,Jeon,J.H.,Park,D.,Kim,J.A.,Cheong,H.M.,Nam,J.G.,Kim,K.,Kim,S.S.,Nam,J.-G.,Kim,Y.-J.,Cheong,H.-M.,Yang,J.-S.,Park,S.,Kim,H.M.,Kim,D.-W.,Yun,M.-R.	Kim et al	Korea National Institute of Health, Korea Centers for Disease Control and Prevention	Human
425	KT202801	KT202801.1	KFMC-11	2014-04-28	Asia	Saudi Arabia			5220	Homo sapiens	2015-11-17	2015-11-17		Fagbo,S.F.,Skakni,L.,Chu,D.K.,Garbati,M.A.,Joseph,M.,Peiris,M.,Hakawi,A.M.,Chu,D.K.W.,Peiris,M.J.S.	Fagbo et al	The University of Hong Kong, School of Public Health	Human
426	KT225476	KT225476.2	MERS-CoV/THA/CU/17_06_2015	2015-06-17	Asia	Thailand			29809	Homo sapiens	2015-07-07	2017-08-22		Plipat,T.,Buathong,R.,Wacharapluesadee,S.,Siriarayapon,P.,Pittayawonganon,C.,Sangsajja,C.,Kaewpom,T.,Petcharat,S.,Ponpinit,T.,Jumpasri,J.,Joyjinda,Y.,Rodpan,A.,Ghai,S.,Jittmittraphap,A.,Khongwichit,S.,Smith,D.R.,Corman,V.M.,Drosten,C.,Hemachudha,T.,Pittayawomganon,C.,Sangsaija,C.,Jittmitraphap,A.	Plipat et al	Bureau of Epidemiology, Department of Disease Control Ministry of Public Health	Human
427	KT275306	KT275306.1	ADFCA-HKU1	2015-05-09	Asia	United Arab Emirates			8951	Camelus dromedarius	2015-12-17	2015-12-17		Al Hammadi,Z.M.,Chu,D.K.,Eltahir,Y.M.,Al Hosani,F.,Al Mulla,M.,Tarnini,W.,Hall,A.J.,Perera,R.A.,Abdelkhalek,M.M.,Peiris,J.S.,Al Muhairi,S.S.,Poon,L.L.,Chu,D.K.W.,Peiris,M.J.S.,Poon,L.L.M.	Al Hammadi et al	The University of Hong Kong, School of Public Health	Camel
428	KT275307	KT275307.1	ADFCA-HKU2	2015-05-09	Asia	United Arab Emirates			8951	Camelus dromedarius	2015-12-17	2015-12-17		Al Hammadi,Z.M.,Chu,D.K.,Eltahir,Y.M.,Al Hosani,F.,Al Mulla,M.,Tarnini,W.,Hall,A.J.,Perera,R.A.,Abdelkhalek,M.M.,Peiris,J.S.,Al Muhairi,S.S.,Poon,L.L.,Chu,D.K.W.,Peiris,M.J.S.,Poon,L.L.M.	Al Hammadi et al	The University of Hong Kong, School of Public Health	Camel
429	KT275308	KT275308.1	ADFCA-HKU3	2015-05-09	Asia	United Arab Emirates			8951	Camelus dromedarius	2015-12-17	2015-12-17		Al Hammadi,Z.M.,Chu,D.K.,Eltahir,Y.M.,Al Hosani,F.,Al Mulla,M.,Tarnini,W.,Hall,A.J.,Perera,R.A.,Abdelkhalek,M.M.,Peiris,J.S.,Al Muhairi,S.S.,Poon,L.L.,Chu,D.K.W.,Peiris,M.J.S.,Poon,L.L.M.	Al Hammadi et al	The University of Hong Kong, School of Public Health	Camel
447	KT357803	KT357803.1	Riyadh_688/KSA/2014	2014-XX-XX	Asia	Saudi Arabia			4062	Homo sapiens	2016-04-12	2016-04-12		Corman,V.M.,Albarrak,A.M.,Omrani,A.S.,Albarrak,M.M.,Farah,M.E.,Almasri,M.,Muth,D.,Sieberg,A.,Meyer,B.,Assiri,A.M.,Binger,T.,Steinhagen,K.,Lattwein,E.,Al-Tawfiq,J.,Muller,M.A.,Drosten,C.,Memish,Z.A.	Corman et al	University of Bonn Medical Centre, Institute of Virology	Human
456	KT357812	KT357812.1	Riyadh_1340/KSA/2014	2014-XX-XX	Asia	Saudi Arabia			4062	Homo sapiens	2016-04-12	2016-04-12		Corman,V.M.,Albarrak,A.M.,Omrani,A.S.,Albarrak,M.M.,Farah,M.E.,Almasri,M.,Muth,D.,Sieberg,A.,Meyer,B.,Assiri,A.M.,Binger,T.,Steinhagen,K.,Lattwein,E.,Al-Tawfiq,J.,Muller,M.A.,Drosten,C.,Memish,Z.A.	Corman et al	University of Bonn Medical Centre, Institute of Virology	Human
457	KT368824	KT368824.1	camel/Jeddah/F13A/2014	2014-05-XX	Asia	Saudi Arabia			30115	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
458	KT368825	KT368825.1	camel/Riyadh/Ry23N/2014	2014-07-XX	Asia	Saudi Arabia			30119	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
459	KT368826	KT368826.1	camel/Riyadh/Ry84N/2014	2014-07-XX	Asia	Saudi Arabia			30122	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
460	KT368827	KT368827.1	camel/Jeddah/401/2014	2014-09-XX	Asia	Saudi Arabia			30114	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
461	KT368828	KT368828.1	camel/Jeddah/D100/2014	2014-12-XX	Asia	Saudi Arabia			30119	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
462	KT368829	KT368829.1	camel/Jeddah/D33(b)/2014	2014-12-XX	Asia	Saudi Arabia			30118	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
463	KT368830	KT368830.1	camel/Jeddah/D34/2014	2014-12-XX	Asia	Saudi Arabia			30119	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
464	KT368831	KT368831.1	camel/Jeddah/D35/2014	2014-12-XX	Asia	Saudi Arabia			30118	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
465	KT368832	KT368832.1	camel/Jeddah/D36/2014	2014-12-XX	Asia	Saudi Arabia			30118	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
466	KT368833	KT368833.1	camel/Jeddah/D38(b)/2014	2014-12-XX	Asia	Saudi Arabia			30118	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
467	KT368834	KT368834.1	camel/Jeddah/D40/2014	2014-12-XX	Asia	Saudi Arabia			30113	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
468	KT368835	KT368835.1	camel/Jeddah/D42/2014	2014-12-XX	Asia	Saudi Arabia			30119	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
469	KT368836	KT368836.1	camel/Jeddah/D43(b)/2014	2014-12-XX	Asia	Saudi Arabia			30119	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
470	KT368837	KT368837.1	camel/Jeddah/D45/2014	2014-12-XX	Asia	Saudi Arabia			30117	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
471	KT368838	KT368838.1	camel/Jeddah/D46(b)/2014	2014-12-XX	Asia	Saudi Arabia			30118	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
