accession	accession_version	length	database	sra_accessions	strain	region	location	date	date_released	date_updated	host	sample_type	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors
KF600643	KF600643.1	15966	GenBank		Al-Hasa_14b_2013	Asia		2013-05-08	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600644	KF600644.1	30078	GenBank		Al-Hasa_16_2013	Asia		2013-05-12	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600645	KF600645.1	30071	GenBank		Al-Hasa_15_2013	Asia		2013-05-11	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600646	KF600646.1	9625	GenBank		Al-Hasa_11b_2013	Asia		2013-05-03	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600647	KF600647.1	30115	GenBank		Al-Hasa_17_2013	Asia		2013-05-15	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600648	KF600648.1	4327	GenBank		Al-Hasa_9a_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600649	KF600649.1	2150	GenBank		Al-Hasa_9c_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600650	KF600650.1	2140	GenBank		Al-Hasa_13a_2013	Asia		2013-05-07	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600651	KF600651.1	30105	GenBank		Al-Hasa_18_2013	Asia		2013-05-23	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600652	KF600652.1	30082	GenBank		Riyadh_2_2012	Asia		2012-10-30	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600653	KF600653.1	1195	GenBank		Al-Hasa_10a_2013	Asia		2013-05-02	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600654	KF600654.1	2218	GenBank		Al-Hasa_9b_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600655	KF600655.1	18505	GenBank		Al-Hasa_7a_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600656	KF600656.1	1678	GenBank		Al-Hasa_13d_2013	Asia		2013-05-07	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF745068	KF745068.1	29901	GenBank		FRA/UAE	Europe		2013-05-07	2013-12-07	2013-12-07	Homo sapiens			Enouf,V.,Briand,D.,van der Werf,S.	Insitut Pasteur, Virology	France	France		Enouf et al
KF811035	KF811035.1	1242	GenBank		KF811035	Africa		2013-05-08	2014-05-19	2014-09-11	Homo sapiens	blood		Abroug,F.,Slim,A.,Ouanes-Besbes,L.,Kacem,M.A.,Dachraoui,F.,Ouanes,I.,Lu,X.,Tao,Y.,Paden,C.,Caidi,H.,Miao,C.,Al-Hajri,M.M.,Zorraga,M.,Ghaouar,W.,BenSalah,A.,Gerber,S.I.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Tunisia		Abroug et al
KF811036	KF811036.1	4062	GenBank		KF811036	Africa		2013-05-08	2014-05-19	2014-09-11	Homo sapiens	blood		Abroug,F.,Slim,A.,Ouanes-Besbes,L.,Kacem,M.A.,Dachraoui,F.,Ouanes,I.,Lu,X.,Tao,Y.,Paden,C.,Caidi,H.,Miao,C.,Al-Hajri,M.M.,Zorraga,M.,Ghaouar,W.,BenSalah,A.,Gerber,S.I.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Tunisia		Abroug et al
KF917527	KF917527.1	29851	GenBank		MERS-CoV-Jeddah-Camel-1	Asia		2013-11-08	2014-05-01	2014-06-05	Camelus			Azhar,E.I.,El-Kafrawy,S.A.,Farraj,S.A.,Hassan,A.M.,Al-Saeed,M.S.,Hashem,A.M.,Madani,T.A.,Alsaeed,M.S.,Alawi,M.M.	King Abdulaziz University, King Fahd Medical Research Center, Special Infectious Agent Unit	Saudi Arabia	Saudi Arabia		Azhar et al
KF933380	KF933380.1	752	GenBank		1	Asia		2013-10-17	2013-12-19	2013-12-19	Camelus dromedarius			Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Al Dhahiry,S.H.S.,Reusken,C.B.E.M.,AlHajri,M.M.,Koopmans,M.P.G.	Erasmus Medical Center, Department of Viroscience	Netherlands	Qatar		Haagmans et al
KF933381	KF933381.1	586	GenBank		1	Asia		2013-10-17	2013-12-19	2013-12-19	Camelus dromedarius			Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Al Dhahiry,S.H.S.,Reusken,C.B.E.M.,AlHajri,M.M.,Koopmans,M.P.G.	Erasmus Medical Center, Department of Viroscience	Netherlands	Qatar		Haagmans et al
KF933382	KF933382.1	793	GenBank		1	Asia		2013-10-17	2013-12-19	2013-12-19	Camelus dromedarius			Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Al Dhahiry,S.H.S.,Reusken,C.B.E.M.,AlHajri,M.M.,Koopmans,M.P.G.	Erasmus Medical Center, Department of Viroscience	Netherlands	Qatar		Haagmans et al
KF933383	KF933383.1	358	GenBank		1	Asia		2013-10-17	2013-12-19	2013-12-19	Camelus dromedarius			Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Al Dhahiry,S.H.S.,Reusken,C.B.E.M.,AlHajri,M.M.,Koopmans,M.P.G.	Erasmus Medical Center, Department of Viroscience	Netherlands	Qatar		Haagmans et al
KF933384	KF933384.1	773	GenBank		1	Asia		2013-10-17	2013-12-19	2013-12-19	Camelus dromedarius			Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Al Dhahiry,S.H.S.,Reusken,C.B.E.M.,AlHajri,M.M.,Koopmans,M.P.G.	Erasmus Medical Center, Department of Viroscience	Netherlands	Qatar		Haagmans et al
KF933385	KF933385.1	940	GenBank		1	Asia		2013-10-17	2013-12-19	2013-12-19	Camelus dromedarius			Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Al Dhahiry,S.H.S.,Reusken,C.B.E.M.,AlHajri,M.M.,Koopmans,M.P.G.	Erasmus Medical Center, Department of Viroscience	Netherlands	Qatar		Haagmans et al
KF958702	KF958702.1	29851	GenBank		MERS-CoV-Jeddah-human-1	Asia		2013-11-05	2014-05-01	2014-06-05	Homo sapiens			Azhar,E.I.,El-Kafrawy,S.A.,Farraj,S.A.,Hassan,A.M.,Al-Saeed,M.S.,Hashem,A.M.,Madani,T.A.,Alsaeed,M.S.,Alawi,M.M.	King Abdulaziz University, King Fahd Medical Research Center, Special Infectious Agent Unit	Saudi Arabia	Saudi Arabia		Azhar et al
KF961221	KF961221.1	30090	GenBank		Qatar3	Asia		2013-10-13	2013-12-23	2014-01-24	Homo sapiens			Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Ledesma,J.,Lythgow,K.,Sadler,C.,Omeng-Kumi,N.,Ellis,J.,Al-Marri,S.,Al-Romaihi,H.,Al-Khal,A.,Al-Dhahiry,S.,Al-Hajri,M.	Public Health England, Viral Reference Department	United Kingdom	Qatar		Haagmans et al
KF961222	KF961222.1	30086	GenBank		Qatar4	Asia		2013-10-17	2013-12-23	2014-01-24	Homo sapiens			Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Ledesma,J.,Lythgow,K.,Sadler,C.,Omeng-Kumi,N.,Ellis,J.,Al-Marri,S.,Al-Romaihi,H.,Al-Khal,A.,Al-Dhahiry,S.,Al-Hajri,M.	Public Health England, Viral Reference Department	United Kingdom	Qatar		Haagmans et al
KJ156859	KJ156859.1	1326	GenBank		Riyadh_15d_2013	Asia		2013-08-19	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156860	KJ156860.1	6064	GenBank		Al-Hasa_23a_2013	Asia		2013-05-13	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156861	KJ156861.1	2043	GenBank		Hafr-Al-Batin_4d_2013	Asia		2013-08-25	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156862	KJ156862.1	1641	GenBank		Al-Hasa_23e_2013	Asia		2013-05-13	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156863	KJ156863.1	2975	GenBank		Asir_2a_2013	Asia		2013-08-05	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156864	KJ156864.1	2245	GenBank		Hafr-Al-Batin_4c_2013	Asia		2013-08-25	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156865	KJ156865.1	4303	GenBank		Riyadh_17c_2013	Asia		2013-08-26	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156866	KJ156866.1	30054	GenBank		Al-Hasa_25_2013	Asia		2013-05-02	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156867	KJ156867.1	2147	GenBank		Al-Hasa_24a_2013	Asia		2013-05-01	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156868	KJ156868.1	2146	GenBank		Taif_3d_2013	Asia		2013-06-13	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156869	KJ156869.1	30055	GenBank		Riyadh_9_2013	Asia		2013-07-17	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156870	KJ156870.1	2102	GenBank		Al-Hasa_24e_2013	Asia		2013-05-01	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156871	KJ156871.1	2043	GenBank		Taif_4b_2013	Asia		2013-06-13	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156872	KJ156872.1	9202	GenBank		Al-Hasa_26c_2013	Asia		2013-06-18	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156873	KJ156873.1	10327	GenBank		Riyadh_13b_2013	Asia		2013-08-13	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
KJ156874	KJ156874.1	30055	GenBank		Hafr-Al-Batin_6_2013	Asia		2013-08-28	2014-02-06	2014-03-21	Homo sapiens			Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Kingdom of Saudi Arabia Ministry of Health		Saudi Arabia		Cotten et al
